pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
132.3,-85.65,180.0,bottom,C1,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt
111.575,-96.875001,-90.0,top,C100,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt
141.3,-87.8,-90.0,bottom,C101,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10uF,smt
109.499999,-96.9675,-90.0,top,C102,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10uF,smt
106.5,-119.0,180.0,top,C103,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10nF,smt
106.5,-128.0,180.0,top,C104,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10nF,smt
109.4,-113.0,-90.0,top,C105,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2.2uF,smt
109.4,-120.5,-90.0,top,C106,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2u2F,smt
109.4,-125.5,-90.0,top,C107,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10uF,smt
109.4,-116.5,-90.0,top,C108,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10uF,smt
144.5,-76.945,90.0,bottom,C2,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,22pF,smt
144.5,-83.055,-90.0,bottom,C3,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,22pF,smt
128.5,-80.5,90.0,top,C4,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,"0,01µF",smt
135.6,-84.85,0.0,bottom,C5,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt
155.7,-81.8,180.0,top,C52,,,C_0603_1608Metric,22uF,smt
160.815,-81.8,180.0,top,C54,,,C_0603_1608Metric,22uF,smt
141.15,-128.33,-90.0,top,C6,,,C_0805_2012Metric,22uF,smt
139.5675,-81.3,0.0,top,C60,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10uF,smt
140.52,-72.755,90.0,top,C61,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt
168.8387,-62.575,0.0,top,C62,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10nF,smt
139.5675,-79.6,0.0,top,C63,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt
168.8387,-60.025,0.0,top,C64,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1uF,smt
172.05,-79.2,90.0,top,C65,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100nF,smt
161.1912,-61.3,180.0,top,C67,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1uF,smt
143.3,-109.8675,-90.0,top,C68,,1005 Murata,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,GRM155R60J106ME15D,smt
139.822,-109.325001,180.0,top,C69,,0603 Wurth Electronics,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,GRM155R60J106ME15D,smt
141.18,-117.6,0.0,top,C7,,,C_0805_2012Metric,22uF,smt
145.174999,-111.222,90.0,bottom,C70,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10nF,smt
142.994999,-111.242,90.0,bottom,C71,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,470nF,smt
156.3,-86.35,90.0,top,C72,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,0.1uF,smt
158.7,-92.51,90.0,bottom,C73,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,0.1uF,smt
158.7,-86.35,90.0,top,C74,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100pF,smt
156.3,-92.51,90.0,bottom,C75,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100pF,smt
156.5,-100.5,180.0,bottom,C76,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10uF,smt
158.6,-92.45,90.0,top,C77,,,C_0805_2012Metric,47uF,smt
156.5,-102.4,180.0,bottom,C78,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,0.1uF,smt
156.8,-92.6675,90.0,top,C79,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,0.1uF,smt
158.42,-128.07,-90.0,top,C8,,,C_0805_2012Metric,22uF,smt
161.4,-94.6,0.0,top,C80,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100pF,smt
170.15,-101.35,0.0,bottom,C81,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1uF,smt
171.1075,-91.1925,90.0,top,C82,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1uF,smt
169.1,-91.1675,90.0,top,C83,,,C_0603_1608Metric,22uF,smt
104.275001,-90.857502,90.0,top,C84,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,0.1uF,smt
106.575001,-94.682501,90.0,top,C85,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,0.1uF,smt
106.575001,-90.857502,90.0,top,C86,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100pF,smt
